idx,hhem_faithfulness,nli_entailment,nli_neutral,nli_contradiction
70,0.9274659752845764,0.0005830990266986191,0.9990707039833069,0.0003461879678070545
71,0.9651699662208557,0.0997048020362854,0.03702247142791748,0.8632727861404419
72,0.6786772012710571,0.008090936578810215,0.9588710069656372,0.033038120716810226
73,0.8995469212532043,0.029160644859075546,0.015080549754202366,0.955758810043335
74,0.9771495461463928,0.09619969129562378,0.9036403298377991,0.00015996332513168454
75,0.0818774625658989,0.1839156150817871,0.80766761302948,0.008416751399636269
76,0.8959497213363647,0.9543387293815613,0.04410674795508385,0.0015545194037258625
77,0.920960545539856,0.42584073543548584,0.5740324258804321,0.00012689104187302291
78,0.9805458784103394,0.36858823895454407,0.28886911273002625,0.3425426781177521
79,0.9727637767791748,0.9935054779052734,0.006028047297149897,0.00046651269076392055
80,0.9691756963729858,0.997227132320404,0.002729589119553566,4.3299540266161785e-05
81,0.7593515515327454,0.8218284249305725,0.06338051706552505,0.1147911325097084
82,0.9849120378494263,0.8429263830184937,0.022736158221960068,0.1343373954296112
83,0.05685753747820854,0.00025458759046159685,0.9995726943016052,0.0001726156478980556
84,0.9287784695625305,0.7255638241767883,0.05214656516909599,0.22228963673114777
85,0.8657195568084717,0.21144826710224152,0.7396509647369385,0.0489007905125618
86,0.011354603804647923,0.0072571150958538055,0.15748389065265656,0.8352590203285217
87,0.8743169903755188,0.030794864520430565,0.9392170906066895,0.029988106340169907
88,0.9225625991821289,0.002884724410250783,0.0016455438453704119,0.9954696893692017
89,0.9376890063285828,0.998278021812439,0.0016635593492537737,5.8468813222134486e-05
90,0.9287784695625305,0.7255620360374451,0.05214672535657883,0.2222912609577179
91,0.6529263257980347,0.011365988291800022,0.9881752729415894,0.00045873713679611683
92,0.9428712725639343,0.9901760220527649,0.0094490647315979,0.00037485745269805193
93,0.9426934719085693,0.0036560632288455963,0.995888888835907,0.0004550430167000741
94,0.02735179290175438,0.0004449203552212566,0.01163950189948082,0.9879155158996582
95,0.9613660573959351,0.9966801404953003,0.0031851145904511213,0.00013474705338012427
96,0.9869286417961121,0.9902423024177551,0.009240254759788513,0.000517491833306849
97,0.882606565952301,0.8302895426750183,0.16825823485851288,0.0014521765988320112
98,0.9375129342079163,0.9496236443519592,0.04985019192099571,0.0005261462065391243
99,0.986746609210968,0.9541802406311035,0.04063127189874649,0.0051884157583117485
100,0.9543684124946594,0.437119722366333,0.5120566487312317,0.050823651254177094
101,0.9521179795265198,0.9534000754356384,0.041507527232170105,0.005092423874884844
102,0.9647331833839417,0.00015031920338515192,0.9997979998588562,5.174516627448611e-05
103,0.975548505783081,0.9727500081062317,0.023304613307118416,0.003945414442569017
104,0.9860790371894836,0.0010804076446220279,0.9979658126831055,0.0009537528967484832
105,0.8365412950515747,0.01381688378751278,0.9369312524795532,0.04925187677145004
106,0.8345519304275513,0.014707699418067932,0.9780133366584778,0.007278929464519024
107,0.875024676322937,0.00031906896037980914,0.9718858003616333,0.027795149013400078
108,0.9733837842941284,0.967783510684967,0.018135888502001762,0.014080656692385674
109,0.9252864122390747,0.950035572052002,0.040898628532886505,0.009065830148756504
110,0.8342490792274475,0.9689406156539917,0.03052816540002823,0.0005312625435180962
111,0.04439482465386391,0.000955433351919055,0.0004405143845360726,0.9986041188240051
112,0.6280729174613953,0.9656873345375061,0.02534119039773941,0.008971470408141613
113,0.9276375770568848,0.884859025478363,0.11290549486875534,0.0022354943212121725
114,0.9271454215049744,0.0016862248303368688,0.9974173307418823,0.0008964333683252335
115,0.8517458438873291,0.9989521503448486,0.0010017913300544024,4.6016895794309676e-05
116,0.8427900671958923,0.9897027611732483,0.009831884875893593,0.0004653258074540645
117,0.9887296557426453,0.010586363263428211,0.9799342751502991,0.00947935227304697
118,0.9799409508705139,0.9942263960838318,0.005630121566355228,0.00014352702419273555
119,0.9186059832572937,0.9988320469856262,0.0010689328191801906,9.901425801217556e-05
120,0.8346971869468689,0.9032588005065918,0.051389120519161224,0.04535207152366638
121,0.062018513679504395,3.07132322632242e-05,0.0040135253220796585,0.9959557056427002
122,0.9784659743309021,0.9930114150047302,0.006633603014051914,0.0003549547109287232
123,0.9620673656463623,0.9987803101539612,0.00118637562263757,3.333640415803529e-05
124,0.9275519251823425,0.9626455903053284,0.0330863818526268,0.004268024116754532
125,0.9865143895149231,0.9372696280479431,0.06053129583597183,0.0021991045214235783
126,0.9685757756233215,0.9843353033065796,0.012920588254928589,0.0027440343983471394
127,0.9667161703109741,0.005097137298434973,0.9925968647003174,0.0023059381637722254
128,0.9210717082023621,0.3405553996562958,0.6593514680862427,9.31319227674976e-05
129,0.6464939117431641,0.9805799126625061,0.006323218811303377,0.013096916489303112
130,0.9065974354743958,0.9908774495124817,0.008912374265491962,0.00021019346604589373
131,0.010658805258572102,4.943671592627652e-05,0.0003295333299320191,0.9996210336685181
132,0.8398329019546509,0.9358452558517456,0.06263536959886551,0.0015193867729976773
133,0.6717339754104614,0.0002497104578651488,0.999642014503479,0.00010837545414688066
134,0.9791908860206604,0.1854889839887619,0.7504096627235413,0.06410134583711624
135,0.9863082766532898,0.30884987115859985,0.6719211339950562,0.019229045137763023
136,0.059648070484399796,0.988203227519989,0.008810670115053654,0.002986075123772025
137,0.06128031387925148,0.005030702333897352,0.6575141549110413,0.3374550938606262
138,0.8183815479278564,0.0015457964036613703,0.9965571165084839,0.0018970530945807695
139,0.946884274482727,0.9691535234451294,0.030348513275384903,0.0004979402874596417
140,0.9867587685585022,0.000818147324025631,0.9991505146026611,3.135133738396689e-05
141,0.9765648245811462,0.9440018534660339,0.05464587360620499,0.0013522612862288952
142,0.8340429663658142,0.0005948251928202808,0.9990079998970032,0.00039722121437080204
143,0.9768408536911011,0.9774148464202881,0.02189650386571884,0.0006886405753903091
144,0.9653822779655457,0.9986429810523987,0.0012950627133250237,6.197510083438829e-05
145,0.9421349167823792,0.9987021684646606,0.001250874949619174,4.689409979619086e-05
146,0.034085385501384735,0.002704068087041378,0.9972037076950073,9.229998977389187e-05
147,0.9382380247116089,0.9986522793769836,0.0013030427508056164,4.470783096621744e-05
